"COD_IDT_COTC";"COD_COTC";"ANO_COTC";"COD_ORG_EMP";"TXT_ORG_EMP";"COD_UNID_ORCM_SOF";"TXT_UNID_ORCM";"COD_TIP_COTC";"TXT_TIP_COTC";"COD_FNDT_LEGA_DESP";"TXT_RESU_FNDT_LEGA";"COD_MODL_LICI_SOF";"TXT_MODL_LICI";"DT_INIC_VIG";"DT_FIM_VIG";"DT_FIM_VIG_ATU";"VAL_EPH_INFM_PRIN";"VAL_EPH_INFM_REAJ";"QTD_DIA_PRZO_ATUL";"VAL_TOT_MNTT_PRIN";"VAL_TOT_MNTT_REAJ";"VAL_TOT_EPH_PRIN";"VAL_TOT_EPH_REAJ";"COD_SITU_COTC_ATU";"COD_COND_PGTO";"TXT_COND_PGTO";"ANO_ATA_REG_PCO";"COD_ATA_REG_PCO";"RP_COD_ORG_EMP";"RP_TXT_ORG_EMP";"RP_COD_EMP_ORG_EXTR";"RP_TXT_EMP_ORG_EXTR";"COD_IND_REAJ_SOF";"TXT_IND_REAJ_SOF";"COD_ORGN_COTC";"NOM_PPST_COTT";"DT_ENVI_PPTA_COTC";"DT_ASSI_DPCH";"DT_PUBL_DPCH";"COD_NRO_PAG_DPCH";"DT_ASSI_COTC";"DT_PUBL_COTC";"COD_NRO_PAG_COTC";"COD_NRO_EDIT_COTC";"COD_NRO_PCSS_SOF";"COD_TIP_DOC";"COD_GSTR_COTC";"NOM_GSTR_COTC";"TXT_DOC_DESG_GSTR";"TXT_OBJE_COTC";"TXT_REAJ_OTRO";"COD_ORG_EMP_ATUAL";"TXT_ORG_EMP_ATUAL";"COD_UNID_ORCM_SOF_ATUAL";"TXT_UNID_ORCM_ATUAL";"VAL_PRIN_ACRE";"VAL_REAJ_ACRE";"QTD_DIA_PRZO_COTR";"VL_TOTAL_ADITAMENTO";"VL_TOTAL_REAJUSTES";"VL_TOTAL_ATUALIZADO";"VL_ATUAL_CONTR_GERAL";"VL_EMPENHADOS_ANTES_GERAL";"VL_EMPENHADOS_APOS_GERAL";"VL_ANULACOES_GERAL";"VL_SALDO_EMPENHAR_GERAL";"VL_SALDO_LIQUIDAR_GERAL";"VL_SALDO_PAGAR_GERAL";"VL_PAGOS_GERAL";"VL_EMPENHOS_CANCELADOS_GERAL";"VL_ATUAL_CONTR_PRINC";"VL_EMPENHADOS_ANTES_PRINC";"VL_EMPENHADOS_APOS_PRINC";"VL_ANULACOES_PRINC";"VL_SALDO_EMPENHAR_PRINC";"VL_SALDO_LIQUIDAR_PRINC";"VL_SALDO_PAGAR_PRINC";"VL_PAGOS_PRINC";"VL_EMPENHOS_CANCELADOS_PRINC";"VL_ATUAL_CONTR_REAJ";"VL_EMPENHADOS_ANTES_REAJ";"VL_EMPENHADOS_APOS_REAJ";"VL_ANULACOES_REAJ";"VL_SALDO_EMPENHAR_REAJ";"VL_SALDO_LIQUIDAR_REAJ";"VL_SALDO_PAGAR_REAJ";"VL_PAGOS_REAJ";"VL_EMPENHOS_CANCELADOS_REAJ";"PERC_ADIT_ACRESC_PATAMAR";"PERC_ADIT_SUPR_PATAMAR";"PERC_ADIT_ACRESC_OBJETO";"PERC_ADIT_SUPR_OBJETO";"QT_PRAZO_ATUAL_ACRESCIMO_OBJ";"QT_PRAZO_ATUAL_SUPRESSAO_OBJ";"QT_PRAZO_ATUAL_ACRESCIMO_PAT";"QT_PRAZO_ATUAL_SUPRESSAO_PAT";"QT_PRAZO_ATUAL_ACRESCIMO_PRO";"QT_PRAZO_ATUAL_SUPRESSAO_PRO";"DOTACAO";"COD_SUB_ELEM_DESP";"DESC_SUB_ELEMENTO";"COD_ITEM_DESP_SOF";"DESC_ITEM_DESP";"COD_ELEM_DESP";"DESC_ELEMENTO";"VL_SALDO_EMPENHAR_TOTAL"
"595214";"22822";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"122";"Art. 75 - Inciso IX - Lei Federal 14.133/2021";"6";"Dispensa de Licitação";"01/09/2025 00:00:00";"01/02/2026 00:00:00";"01/02/2026 00:00:00";"0";"0";"153";"184311,17";"0";"184311,17";"0";"A";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"059/SIURB/2025";"DELSON JOSE AMADOR";"12/05/2025 00:00:00";"18/07/2025 00:00:00";"22/07/2025 00:00:00";"";"28/08/2025 00:00:00";"05/09/2025 00:00:00";"";"oficio 69/siurb G";"6022202500028295";"S";"D8222908";"Jonathan Sant'ana dos Santos";"129404349";"Prestação de serviços técnicos especializados para apoio técnico preparatório e execução de licitação nos termos da Lei nº 14.133/2021 para contratação de empresa especializada em engenharia para execução de obras e serviços de adequação da pista Pit Lane e instalações permanentes do Autódromo Municipal José Carlos Pace - Interlagos, para realização do Grande Prêmio de Fórmula 1 - 2025.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"184311,17";"0";"153";"0";"0";"184311,17";"184311,17";"0";"184311,17";"0";"0";"0";"184311,17";"184311,17";"0";"184311,17";"0";"184311,17";"0";"0";"0";"184311,17";"184311,17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.27.813.3015.1.109.44905100.00.1.500.0003.1";"80";"Estudos e Projetos";"99";"Outros Estudos e Projetos";"51";"Obras e Instalações";"0"
"612848";"38937";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"106";"Art. 28 - Inciso II Lei Federal 14.133/2021";"4";"Concorrência";"12/03/2026 00:00:00";"01/03/2028 00:00:00";"01/03/2028 00:00:00";"0";"0";"720";"68707431";"0";"8537658,82";"0";"A";"9";"umental";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"166/SIURB/2025";"Rafael Sangiacomo";"11/09/2025 00:00:00";"11/12/2025 00:00:00";"12/12/2025 00:00:00";"15200";"30/12/2025 00:00:00";"03/03/2026 00:00:00";"15200";"nº 90046/25/SIURB";"6022202500060172";"S";"528.666-2";"ARIOVALDO JOSÉ LOPES";"147701726";"ELABORAÇÃO DE PROJETOS EXECUTIVOS E OBRAS DE CANALIZAÇÃO E SERVIÇOS COMPLEMENTARES NA ÁREA DE RISCO CV - 08 FUTURO MELHOR E CV10 CÓRREGO DO BISPO";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"68707431";"0";"720";"0";"0";"68707431";"68707431";"0";"8537658,82";"0";"60169772,18";"4042804,61";"4494854,21";"4494854,21";"17373999,43";"68707431";"0";"8537658,82";"0";"60169772,18";"4042804,61";"4494854,21";"4494854,21";"17373999,43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.17.512.4014.5.013.44905100.00.1.500.0003.0";"89";"Obras em Andamento - Uso Comum do Povo";"22";"Canalização de Córregos";"51";"Obras e Instalações";"60169772,18"
"580557";"9289";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"30";"Nota de Empenho para Fornecimento de Serviços";"115";"Art. 75 - Inciso II - Lei Federal 14.133/2021";"6";"Dispensa de Licitação";"01/05/2025 00:00:00";"01/05/2026 00:00:00";"01/05/2026 00:00:00";"0";"0";"365";"3531";"0";"3531";"0";"E";"90";"ocumento equivalente";"-1";"-1";"";"";"";"";"33";"IPC/FIPE";"013/SIURB/2025";"Carla Cristina Fernandes Dagosto";"24/03/2025 00:00:00";"25/03/2025 00:00:00";"26/03/2025 00:00:00";"313";"08/04/2025 00:00:00";"29/04/2025 00:00:00";"";"Dispensa - Licitação";"6022202500012348";"S";"883.190-4";"Weberton da Silva Oliveira";"Conforme doc. sei! 122355568.";"Prestação de serviços de chaveiro, compreendendo cópia e modelagem de chaves, conserto e abertura de fechaduras, troca de segredo de fechadura em geral.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"16500";"0";"365";"0";"0";"16500";"16500";"0";"3531";"12969";"0";"0";"3531";"3531";"12969";"16500";"0";"3531";"12969";"0";"0";"3531";"3531";"12969";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.122.3024.2.100.33903900.00.1.500.9001.0";"05";"Serviços Técnicos Profissionais";"99";"Outros Serviços Técnicos Profissionais - PJ";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"590420";"18238";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"54";"Nota de Empenho - Pagamento de Anuidades / Taxas / Impostos";"39";"Não Aplicável";"8";"Não Aplicável";"26/06/2025 00:00:00";"01/07/2025 00:00:00";"01/07/2025 00:00:00";"0";"0";"5";"4000";"0";"4000";"0";"E";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"CR1062890-77/2018";"";"26/06/2025 00:00:00";"26/06/2025 00:00:00";"30/06/2025 00:00:00";"";"";"";"";"";"7910202500009401";"S";"";"";"";"Pagamento de Tarifa extraordinária relacionada as obras do Quadrilátero República - CR 1062890-77/2018 - 881763.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"4000";"0";"5";"0";"0";"4000";"4000";"0";"4000";"0";"0";"0";"4000";"4000";"0";"4000";"0";"4000";"0";"0";"0";"4000";"4000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.451.3009.5.100.44903900.00.1.500.0003.1";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"587752";"15759";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"39";"Não Aplicável";"8";"Não Aplicável";"01/09/2025 00:00:00";"01/09/2026 00:00:00";"01/09/2026 00:00:00";"0";"0";"365";"6440365,40";"0";"6440365,40";"0";"A";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"TCNO 027/SIURB/2025";"Jorge Bayerlein";"26/05/2025 00:00:00";"04/06/2025 00:00:00";"05/06/2025 00:00:00";"";"13/06/2025 00:00:00";"24/06/2025 00:00:00";"";"termo não oneroso";"7910202200011273";"S";"8222908";"Jhonatan Sant'Ana dos Santos";"126981025";"Execução das obras de implantação da Ciclopassarela Bernardo Goldfarb - OUCFL.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"6022527,32";"0";"365";"417838,08";"0";"6440365,40";"6440365,40";"0";"6440365,40";"0";"0";"0";"6440365,40";"6440365,40";"0";"6440365,40";"0";"6440365,40";"0";"0";"0";"6440365,40";"6440365,40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6,94";"0";"0";"0";"0";"0";"0";"0";"29.50.15.451.3009.5.100.44905100.08.1.799.0708.0";"89";"Obras em Andamento - Uso Comum do Povo";"08";"Obras em Áreas de Risco";"51";"Obras e Instalações";"0"
"601927";"28849";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"72";"Nota de Empenho Desapropriações - Interesse Social";"65";"Decreto-Lei 3365/1941-Operação de Desapropriação por Utilidade Pública";"8";"Não Aplicável";"01/09/2025 00:00:00";"01/10/2025 00:00:00";"01/10/2025 00:00:00";"0";"0";"30";"71,26";"0";"71,26";"0";"A";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"TCNO 055/SIURB/2025";"";"";"25/09/2025 00:00:00";"29/09/2025 00:00:00";"";"08/12/2025 00:00:00";"10/12/2025 00:00:00";"";"";"7910202500015657";"S";"837819";"ELISEU APARECIDO NETTO";"142996363";"desapropriação de imóvel necessário para implantação do melhoramento HIS - Habitação de Interesse Social, integrante da Operação Urbana Consorciada Água Espraiada - OUCAE.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"71,26";"0";"30";"0";"0";"71,26";"71,26";"0";"71,26";"0";"0";"0";"71,26";"71,26";"0";"71,26";"0";"71,26";"0";"0";"0";"71,26";"71,26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29.30.16.482.3002.3.354.44903900.08.1.799.0624.0";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"605814";"32381";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"71";"Nota de Empenho Desapropriações - Interesse  Público";"65";"Decreto-Lei 3365/1941-Operação de Desapropriação por Utilidade Pública";"8";"Não Aplicável";"01/09/2025 00:00:00";"01/10/2025 00:00:00";"01/10/2025 00:00:00";"0";"0";"30";"21,76";"0";"21,76";"0";"A";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"TCNO 055/SIURB/2025";"";"";"21/10/2025 00:00:00";"23/10/2025 00:00:00";"";"08/12/2025 00:00:00";"10/12/2025 00:00:00";"";"";"7910202500016475";"S";"837819";"ELISEU APARECIDO NETTO";"144648160";"Desapropriação de imóvel necessário para implantação do melhoramento HIS - Habitação de Interesse Social, integrante da Operação Urbana Consorciada Água Espraiada - OUCAE.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"21,76";"0";"30";"0";"0";"21,76";"21,76";"0";"21,76";"0";"0";"0";"21,76";"21,76";"0";"21,76";"0";"21,76";"0";"0";"0";"21,76";"21,76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29.30.16.482.3002.3.354.44906100.08.1.799.0624.0";"99";"Outras Aquisições de Bens Imóveis";"01";"Desapropriações";"61";"Aquisição de Imóveis";"0"
"586137";"14334";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"2";"Termo de Contrato - Serviços";"39";"Não Aplicável";"8";"Não Aplicável";"18/06/2025 00:00:00";"17/09/2025 00:00:00";"01/11/2025 00:00:00";"0";"0";"91";"21539,10";"0";"21539,10";"0";"E";"9";"umental";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"027/SIURB/2025";"Delson Silva Lapa";"22/04/2025 00:00:00";"06/05/2025 00:00:00";"07/05/2025 00:00:00";"";"05/06/2025 00:00:00";"06/06/2025 00:00:00";"";"ARP 007/SIURB/2024";"6022202500030990";"S";"8378193";"Eliseu Aparecido Netto";"124552669";"Contratação de Material Técnico Expropriatório dos imóveis localizados na Rua Agrimensor Sugaya, distrito de Itaquera.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"21539,11";"0";"91";"0";"0";"21539,11";"21539,11";"0";"21539,10";"0,01";"0";"0";"21539,10";"21539,10";"21539,12";"21539,11";"0";"21539,10";"0,01";"0";"0";"21539,10";"21539,10";"21539,12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"0";"98.22.15.451.3009.5.100.44903900.08.1.759.0402.0";"05";"Serviços Técnicos Profissionais";"01";"Gerenciamento";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"611317";"37474";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"71";"Nota de Empenho Desapropriações - Interesse  Público";"65";"Decreto-Lei 3365/1941-Operação de Desapropriação por Utilidade Pública";"8";"Não Aplicável";"01/11/2025 00:00:00";"01/12/2025 00:00:00";"01/12/2025 00:00:00";"0";"0";"30";"71,26";"0";"71,26";"0";"E";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"062/SIURB/2025";"";"";"17/12/2025 00:00:00";"18/12/2025 00:00:00";"14815";"21/01/2026 00:00:00";"22/01/2026 00:00:00";"14850";"";"7910202500019970";"S";"837819";"ELISEU APARECIDO NETTO";"148049539";"Trata-se de processo administrativo de desapropriação de imóvel necessário para implantação do melhoramento Chucri Zaidan, integrante da OUCAE";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"71,26";"0";"30";"0";"0";"71,26";"71,26";"0";"71,26";"0";"0";"0";"71,26";"71,26";"0";"71,26";"0";"71,26";"0";"0";"0";"71,26";"71,26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29.30.15.451.3009.5.100.44903900.08.2.799.0707.1";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"99";"Outros Serviços de Terceiros - Pessoa Jurídica";"39";"Outros Serviços de Terceiros - Pessoa Jurídica";"0"
"610212";"36468";"2025";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"54";"Nota de Empenho - Pagamento de Anuidades / Taxas / Impostos";"39";"Não Aplicável";"8";"Não Aplicável";"01/11/2025 00:00:00";"01/12/2025 00:00:00";"01/12/2025 00:00:00";"0";"0";"30";"3150";"0";"3150";"0";"E";"1";"";"-1";"-1";"";"";"";"";"41";"SEM REAJUSTE";"0403.765-78/2013";"";"26/11/2025 00:00:00";"02/12/2025 00:00:00";"04/12/2025 00:00:00";"";"";"";"";"Não Aplicável";"7910202500021207";"S";"";"";"";"Tarifa Extraordinária relacionada ao TC 0403.765-78/2013 - Reservatório de Controle de Cheias na Bacia do Córrego Aricanduva.";"";"22";"Secretaria Municipal de Infraestrutura Urbana e Obras";"10";"Gabinete do Secretário";"3150";"0";"30";"0";"0";"3150";"3150";"0";"3150";"0";"0";"0";"3150";"3150";"0";"3150";"0";"3150";"0";"0";"0";"3150";"3150";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22.10.15.451.3022.5.085.44905100.00.1.500.0003.1";"89";"Obras em Andamento - Uso Comum do Povo";"23";"Reservatórios e Piscinões";"51";"Obras e Instalações";"0"
